codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
0025027750,0240,2020-03-11T04:20:00.000,0,SAN MARCOS - LA MOJANA TX GPRS/GOES,SUCRE,SAN MARCOS,BAJO MAGDALENA- CAUCA -SAN JORGE,8.655,-75.131,Precipitacion,mm
0021057050,0240,2020-03-11T09:40:00.000,0,VEGA EL SALADO  - AUT,HUILA,LA PLATA,ALTO MAGDALENA,2.331444444,-75.94216667,Precipitacion,mm
0029035080,0240,2020-03-11T09:40:00.000,0,NORMAL MANATI  - AUT,ATLANTICO,MANATÍ,BAJO MAGDALENA,10.45358333,-74.95463889,Precipitacion,mm
0044035040,0240,2020-03-11T22:40:00.000,0,FLORENCIA - AUT,CAQUETA,FLORENCIA,CAQUETÁ,1.733,-75.64502778,Precipitacion,mm
0016015130,0240,2020-03-11T21:00:00.000,0.1,ALCALDIA DE HERRAN  - AUT,NORTE DE SANTANDER,HERRÁN,CATATUMBO,7.506722222,-72.48536111,Precipitacion,mm
0044017070,0240,2020-03-11T15:40:00.000,0,SANTA ROSA  - AUT,CAUCA,SANTA ROSA,CAQUETÁ,1.705,-76.56222222,Precipitacion,mm
0016025503,0240,2020-03-11T16:40:00.000,0.4,GRAMALOTE  - AUT,NORTE DE SANTANDER,GRAMALOTE,CATATUMBO,7.923163889,-72.83375556,Precipitacion,mm
0026155502,0240,2020-03-11T01:05:00.000,0,CENICAFE  - AUT,CALDAS,MANIZALES,CAUCA,4.991111111,-75.59749722,Precipitacion,mm
0021115170,0240,2020-03-11T13:30:00.000,0,LA PLATA - AUT,HUILA,NEIVA,ALTO MAGDALENA,2.759138889,-75.07455556,Precipitacion,mm
0026145505,0240,2020-03-11T07:30:00.000,0,LA FLORESTA  - AUT,CALDAS,BELALCAZAR,CAUCA,4.979219444,-75.83555556,Precipitacion,mm
3519700092,0240,2020-03-11T12:10:00.000,0,MANI - AUT,CASANARE,MANI,META,4.816419444,-72.30865,Precipitacion,mm
0021205710,0240,2020-03-11T05:10:00.000,0,JARDIN BOTANICO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.669333333,-74.10266667,Precipitacion,mm
0026015030,0240,2020-03-11T05:50:00.000,0,PNN PURACE - AUT,CAUCA,PURACÉ (COCONUCO),CAUCA,2.356848889,-76.40354389,Precipitacion,mm
0022057060,0240,2020-03-11T17:10:00.000,0,LA MURALLA - AUT,TOLIMA,ATACO,SALDAÑA,3.481361111,-75.46697222,Precipitacion,mm
0023195502,0240,2020-03-11T13:40:00.000,0,APTO PALONEGRO,SANTANDER,LEBRIJA,MEDIO MAGDALENA,7.121,-73.185,Precipitacion,mm
0044037080,0240,2020-03-11T04:00:00.000,0,MORELIA  - AUT,CAQUETA,MORELIA,CAQUETÁ,1.497333333,-75.72497222,Precipitacion,mm
3706500109,0240,2020-03-11T06:00:00.000,0,ARAUCA TERMINAL - AUT,ARAUCA,ARAUCA,ARAUCA,7.063780556,-70.733080556,Precipitacion,mm
0021165502,0240,2020-03-11T17:50:00.000,0,VILLARICA  - AUT,TOLIMA,VILLARRICA,ALTO MAGDALENA,3.955641667,-74.59178611,Precipitacion,mm
0035095120,0240,2020-03-11T00:00:00.000,0,AQUITANIA - AUT,BOYACÁ,AQUITANIA,META,5.556638889,-72.88175,Precipitacion,mm
0015065180,0240,2020-03-11T21:50:00.000,0,APTO ALMIRANTE PADILLA TX GPRS,LA GUAJIRA,RIOHACHA,CARIBE - GUAJIRA,11.53,-72.918,Precipitacion,mm
0026185501,0240,2020-03-11T17:10:00.000,0,SONSON  - AUT,ANTIOQUIA,SONSÓN,CAUCA,5.677719444,-75.34780556,Precipitacion,mm
