periodo,par_metro,c_digo,categoria,estaci_n,municipio,departamento,ao,altitud_m,longitud,latitud,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,anual
1961-1990,PRECIPITACIÓN,48015050,SP,Aeropuerto Vasquez Cobo,Leticia,Amazonas,11,84,-69.94,-4.19,348.7,326.2,343.4,363.7,278.2,201.8,165.2,163.1,225.9,284.6,284.5,290.1,3275.3
1961-1990,PRECIPITACIÓN,26180160,PM,Abejorral,Abejorral,Antioquia,1,2450,-75.43,5.79,105.1,108.2,190.4,247.6,264.9,157.9,128.3,194.9,269.3,304.3,260.7,176.9,2408.3
1961-1990,PRECIPITACIÓN,26180090,PG,El Buey,Abejorral,Antioquia,1,2110,-75.45,5.92,61.7,69.5,115.9,192.9,236.2,172.8,128.7,174.2,210.2,276.2,223.0,96.4,1957.8
1961-1990,PRECIPITACIÓN,27010850,PM,Amalfi,Amalfi,Antioquia,1,1530,-75.08,6.91,116.7,142.4,189.1,392.9,432.6,323.2,314.9,357.2,434.9,544.3,344.7,154.8,3747.7
1961-1990,PRECIPITACIÓN,27010890,PM,Cueva Santa,Amalfi,Antioquia,1,1550,-75.04,6.96,75.6,166.1,175.7,346.0,333.7,288.6,310.5,318.6,319.3,372.9,267.3,119.5,3093.8
1961-1990,PRECIPITACIÓN,26195020,PM,Ita Andes,Andes,Antioquia,1,1180,-75.88,5.69,84.3,101.9,158.3,223.4,242.2,174.4,172.9,209.8,207.1,236.7,193.3,114.5,2118.9
1961-1990,PRECIPITACIÓN,26190100,PM,Santa Bárbara,Andes,Antioquia,1,1250,-75.90,5.56,114.4,133.6,161.2,233.5,274.9,193.0,175.3,199.7,238.1,275.4,196.0,156.9,2352.1
1961-1990,PRECIPITACIÓN,27020210,PM,Angostura,Angostura,Antioquia,1,1650,-75.33,6.88,71.3,79.7,91.3,263.5,361.9,349.4,323.4,331.8,362.3,352.5,194.2,107.7,2888.8
1961-1990,PRECIPITACIÓN,27020090,PG,El Tabor,Angostura,Antioquia,1,2430,-75.38,6.80,83.9,94.2,161.2,318.2,422.9,340.7,324.1,346.0,346.7,350.4,256.9,119.3,3164.7
1961-1990,PRECIPITACIÓN,26210090,PM,Anza,Anzá,Antioquia,1,550,-75.86,6.30,38.8,67.1,103.4,168.8,235.3,198.1,135.2,157.7,189.0,219.4,150.7,55.8,1719.2
1961-1990,PRECIPITACIÓN,12030020,PM,El Carmelo,Arboletes,Antioquia,2,50,-76.38,8.62,22.5,36.4,20.3,122.3,182.4,147.0,152.3,200.3,161.5,155.1,125.5,64.4,1390.2
1961-1990,PRECIPITACIÓN,27010570,PM,Barbosa,Barbosa,Antioquia,1,1290,-75.33,6.43,63.7,77.4,121.4,215.3,290.3,222.6,214.8,244.7,285.3,322.0,197.6,91.0,2345.9
1961-1990,PRECIPITACIÓN,27010480,PG,Tasajera,Barbosa,Antioquia,1,1345,-75.43,6.40,46.5,66.6,107.6,195.4,208.8,180.7,152.9,187.0,188.8,219.5,175.1,83.4,1812.3
1961-1990,PRECIPITACIÓN,27010370,PG,Fabricato,Bello,Antioquia,1,2422,-75.60,6.37,47.4,63.3,104.3,179.7,215.7,168.8,145.0,174.2,201.8,246.4,161.1,84.3,1791.9
1961-1990,PRECIPITACIÓN,27015090,CO,Tulio Ospina,Bello,Antioquia,1,1453,-75.55,6.32,28.4,44.9,90.5,169.3,200.8,144.3,118.2,149.3,181.7,210.8,130.6,70.1,1538.9
1961-1990,PRECIPITACIÓN,27010870,PM,Belmira,Belmira,Antioquia,1,2540,-75.67,6.61,84.9,105.8,144.6,214.4,260.9,163.5,151.6,170.7,214.4,264.0,204.0,125.2,2104.1
1961-1990,PRECIPITACIÓN,27010720,PG,El Gomez,Belmira,Antioquia,1,2675,-75.65,6.73,71.0,96.7,156.5,228.1,269.7,173.3,158.6,172.1,192.3,241.6,185.2,128.7,2073.9
1961-1990,PRECIPITACIÓN,26190090,PM,Betania Las Guacas,Betania,Antioquia,1,1600,-75.98,5.76,112.6,119.2,157.6,264.3,317.4,211.6,191.2,244.5,235.2,299.8,222.1,146.9,2522.3
1961-1990,PRECIPITACIÓN,26230160,PG,Briceño,Briceño,Antioquia,1,1440,-75.51,7.11,137.1,164.9,259.6,463.2,591.9,654.6,721.2,680.8,595.9,684.1,459.5,239.1,5652.0
1961-1990,PRECIPITACIÓN,26250030,PM,Cáceres,Cáceres,Antioquia,1,95,-75.35,7.58,90.6,86.9,145.9,390.1,482.4,440.7,401.6,458.9,440.6,476.4,287.5,144.7,3846.2
1961-1990,PRECIPITACIÓN,26240100,PM,Guarumo La Lucha,Cáceres,Antioquia,1,70,-75.21,7.86,46.2,52.8,72.6,186.3,312.3,345.5,348.3,370.3,322.6,346.4,213.3,124.9,2741.6
1961-1990,PRECIPITACIÓN,26210070,PM,Caicedo,Caicedo,Antioquia,1,550,-75.98,6.41,76.7,75.6,129.4,175.9,217.4,147.7,155.1,145.9,188.0,242.3,137.9,77.8,1769.7
1961-1990,PRECIPITACIÓN,27010360,PG,Caldas,Caldas,Antioquia,1,1875,-75.63,6.07,101.9,113.3,191.6,297.3,320.4,222.9,180.7,216.8,271.5,336.9,255.1,150.6,2658.9
1961-1990,PRECIPITACIÓN,27020110,PM,Campamento,Campamento,Antioquia,1,1750,-75.30,6.98,127.3,136.8,177.1,356.5,449.2,446.7,420.5,456.8,449.6,430.8,304.9,167.4,3923.4
1961-1990,PRECIPITACIÓN,23080530,PM,Caracoli,Caracolí,Antioquia,1,600,-74.77,6.42,87.8,96.6,202.9,303.2,381.7,252.0,262.3,332.9,356.6,434.5,284.4,107.3,3102.2
1961-1990,PRECIPITACIÓN,23080080,PG,Inmarco,Caracolí,Antioquia,1,260,-74.70,6.30,86.7,83.8,155.6,257.6,328.9,245.9,219.4,243.8,330.3,355.5,217.2,119.0,2643.8
1961-1990,PRECIPITACIÓN,23080300,PM,El Carmen,Carmen de Viboral,Antioquia,1,2180,-75.33,6.08,106.3,125.0,163.2,272.6,314.1,284.6,255.7,323.6,309.2,282.5,203.8,114.6,2755.2
1961-1990,PRECIPITACIÓN,27010500,PM,Carolina,Carolina,Antioquia,1,1800,-75.28,6.73,67.9,94.8,132.8,291.7,444.2,376.9,332.4,366.0,394.9,358.7,210.8,108.2,3179.3
1961-1990,PRECIPITACIÓN,27020140,PG,Miraflores,Carolina,Antioquia,1,2015,-75.32,6.78,72.5,89.0,132.3,293.5,399.4,365.6,363.1,359.3,354.6,331.5,235.1,117.0,3112.9
1961-1990,PRECIPITACIÓN,27020070,PM,Salado el TC 2,Carolina,Antioquia,1,1870,-75.30,6.80,81.6,116.8,159.5,351.5,472.9,449.3,437.4,436.9,427.8,386.4,272.3,134.7,3727.1
1961-1990,PRECIPITACIÓN,25021390,PM,Caucasia,Caucasia,Antioquia,1,70,-75.20,8.00,36.4,31.5,59.9,199.1,254.5,321.3,331.2,380.7,328.7,287.3,192.3,71.1,2494.2
1961-1990,PRECIPITACIÓN,27040030,PM,La Esmeralda,Caucasia,Antioquia,1,100,-74.85,7.75,72.4,100.8,115.9,309.6,487.9,433.5,452.9,541.0,539.5,520.8,384.5,221.5,4180.2
1961-1990,PRECIPITACIÓN,26240060,PM,Manizales,Caucasia,Antioquia,1,91,-74.86,7.75,45.2,47.6,61.7,203.4,356.1,370.5,307.4,357.1,321.4,329.1,227.6,101.3,2728.4
1961-1990,PRECIPITACIÓN,12015090,CO,La Palmera,Chigorodó,Antioquia,1,58,-76.61,7.54,72.4,61.3,90.0,272.0,468.4,485.8,420.2,491.5,500.1,557.7,434.4,267.1,4120.9
1961-1990,PRECIPITACIÓN,23080520,PM,Cocorna,Cocorná,Antioquia,1,1210,-75.18,6.07,252.9,260.4,388.3,551.7,560.8,374.1,308.4,437.2,508.8,581.3,494.2,372.3,5090.3
1961-1990,PRECIPITACIÓN,23080360,PM,Concepción,Concepción,Antioquia,1,1880,-75.27,6.40,104.2,127.2,178.2,285.4,373.5,297.7,298.7,344.5,336.5,345.2,258.9,138.1,3087.9
1961-1990,PRECIPITACIÓN,26210080,PM,La Herradura,Concordia,Antioquia,1,620,-75.87,6.10,60.6,50.8,97.6,176.2,222.1,202.6,157.6,228.8,234.9,269.8,177.9,84.7,1963.6
1961-1990,PRECIPITACIÓN,27010650,PM,Don Matías,Don Matías,Antioquia,1,2200,-75.40,6.48,62.1,81.4,120.9,235.1,297.9,243.4,227.4,254.7,278.7,311.4,203.6,105.5,2422.0
