codigo_estacion,fecha_observacion,valor_observado,nombre_estacion,departamento,municipio,latitud,longitud,unidad_medida
21206780,2012-03-06 10:30:00,19.5,LA INDEPENDENCIA FOPAE Fuera de Servicio,BOGOTA D.C.,"BOGOTA, D.C",4.617,-74.317,°C
48015040,2012-03-16 08:00:00,26.5,PTO NARIÑO,AMAZONAS,PUERTO NARIÑO,-3.78,-70.363,°C
21015050,2012-03-26 07:00:00,13.5,PURACE  - AUT,HUILA,SAN AGUSTÍN,1.925916667,-76.42755556,°C
26095320,2012-11-18 09:00:00,24.2,EL VINCULO - AUT,VALLE DEL CAUCA,BUGA,3.834805556,-76.30000556,°C
21202240,2012-12-09 16:50:00,18.51,UAN SEDE CIRCUNVALAR - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.633,-74.05,°C
21206780,2012-12-11 23:10:00,15.5,LA INDEPENDENCIA FOPAE Fuera de Servicio,BOGOTA D.C.,"BOGOTA, D.C",4.617,-74.317,°C
26135320,2013-02-08 22:24:00,1.2,NEVADO SANTA ISABEL  - AUT,CALDAS,VILLAMARIA,4.802611111,-75.38047222,°C
21206810,2013-02-09 07:25:00,15.1,SAN BENITO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.55,-74.233,°C
27015290,2013-02-23 00:00:00,18.1,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,6.286333333,-75.61279167,°C
21202220,2013-05-19 07:50:00,22.6,PARAISO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.617,-74.05,°C
21202240,2013-05-21 09:25:00,15.85,UAN SEDE CIRCUNVALAR - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.633,-74.05,°C
21235030,2013-06-11 21:00:00,27.3,UNIVERSIDAD DE CUNDINAMARCA - AUT,CUNDINAMARCA,GIRARDOT,4.305333333,-74.80811111,°C
21202230,2013-07-13 14:45:00,16.9,UAN SEDE USME - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.467,-74.117,°C
21202240,2013-10-14 00:00:00,13.73,UAN SEDE CIRCUNVALAR - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.633,-74.05,°C
26125300,2013-11-13 07:00:00,14.7,CALARCA - AUT,QUINDÍO,CALARCÁ,4.528305556,-75.59638889,°C
21202220,2013-11-28 17:35:00,16.2,PARAISO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.617,-74.05,°C
26125300,2013-11-30 21:00:00,14.1,CALARCA - AUT,QUINDÍO,CALARCÁ,4.528305556,-75.59638889,°C
29015040,2013-12-20 13:00:00,36.6,CARMEN DE BOLIVAR  - AUT,BOLIVAR,EL CARMÉN DE BOLÍVAR,9.71575,-75.10641667,°C
21206810,2014-01-24 23:45:00,15.4,SAN BENITO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.55,-74.233,°C
21201200,2014-02-06 20:15:00,8.52,ESC LA UNION - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.343,-74.184,°C
52055220,2014-04-22 17:00:00,15.5,EL PARAISO - AUT,NARIÑO,TÚQUERRES,1.070611111,-77.63688889,°C
21202230,2014-06-01 20:50:00,15.4,UAN SEDE USME - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.467,-74.117,°C
21201980,2014-06-30 23:00:00,11.0,CERRO GUADALUPE - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.567,-74.05,°C
52055210,2014-08-03 21:00:00,10.6,BOTANA - AUT,NARIÑO,PASTO,1.16,-77.27880556,°C
21206780,2014-09-09 10:50:00,19.8,LA INDEPENDENCIA FOPAE Fuera de Servicio,BOGOTA D.C.,"BOGOTA, D.C",4.617,-74.317,°C
21115170,2015-01-23 15:00:00,18.1,LA PLATA - AUT,HUILA,NEIVA,2.759138889,-75.07455556,°C
21208480,2015-02-17 11:15:00,21.5,KENNEDY - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.633,-74.15,°C
17017001,2015-02-20 21:00:00,25.6,JHONNY CAY,SAN ANDRÉS PROVIDENCIA,SAN ANDRÉS,12.599,-81.689,°C
21206810,2015-03-21 16:50:00,18.5,SAN BENITO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.55,-74.233,°C
21202240,2015-03-26 01:05:00,13.73,UAN SEDE CIRCUNVALAR - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.633,-74.05,°C
21195190,2015-05-04 00:00:00,13.6,PASCA - AUT,CUNDINAMARCA,PASCA,4.310111111,-74.31175,°C
28025130,2015-05-04 17:00:00,32.6,LA LOMA CARBONES - AUT,CESAR,EL PASO,9.640611111,-73.52394444,°C
51025060,2015-05-06 22:00:00,23.6,BIOTOPO - AUT,NARIÑO,BARBACOAS,1.408638889,-78.28161111,°C
21202250,2015-08-28 03:30:00,13.2,DOÑA JUANA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.5,-74.133,°C
21202230,2015-11-24 17:40:00,15.9,UAN SEDE USME - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.467,-74.117,°C
23125160,2015-12-16 05:00:00,21.1,SAN PABLO DE BORBUR  - AUT,BOYACÁ,SAN PABLO DE BORBUR,5.647027778,-74.07130556,°C
21202180,2015-12-17 00:50:00,13.6,QUIBA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.543,-74.156,°C
44015070,2016-02-12 01:00:00,21.4,EL PEPINO - AUT,PUTUMAYO,MOCOA,1.082888889,-76.66711111,°C
29035000,2016-03-04 07:00:00,26.4,SINCERIN  - AUT,BOLIVAR,ARJONA,10.14258333,-75.27827778,°C
24035430,2016-03-25 20:00:00,13.8,TUNGUAVITA - AUT,BOYACÁ,PAIPA,5.745916667,-73.11636111,°C
22025501,2016-06-04 11:25:00,24.7,ATACO  - AUT,TOLIMA,ATACO,3.416666667,-75.63305556,°C
23085501,2016-06-12 09:45:00,24.5,COCORNA  - AUT,ANTIOQUIA,COCORNÁ,6.061941667,-75.18666667,°C
26125508,2016-06-17 10:55:00,25.5,LACATALINA  - AUT,RISARALDA,PEREIRA,4.7475,-75.73805556,°C
26145507,2016-07-07 11:05:00,25.7,LAS TANGAS  - AUT,CALDAS,BELALCAZAR,5.038,-75.80599722,°C
11115501,2016-07-12 17:45:00,22.2,CAÑASGORDAS  - AUT,ANTIOQUIA,CAÑASGORDAS,6.748275,-76.03155556,°C
29065501,2016-07-13 17:15:00,26.1,"CIENAGA,LA  - AUT",MAGDALENA,CIÉNAGA,10.89785833,-74.08156667,°C
26085501,2016-07-21 19:35:00,17.8,LA CELIA  - AUT,RISARALDA,LA CELIA,5.001330556,-75.998,°C
21255501,2016-07-25 09:45:00,20.3,LA TRINIDAD  - AUT,TOLIMA,LÍBANO,4.895,-75.04,°C
35035110,2016-07-29 10:00:00,24.7,SALINAS DE UPIN  - AUT,META,RESTREPO,4.273861111,-73.58686111,°C
23015501,2016-08-03 23:00:00,21.8,FRESNO  - AUT,TOLIMA,FRESNO,5.155638889,-75.00313611,°C
