producto,categoria,mercado,precio_kg,variacion_pct
Lechuga Batavia,Verduras y hortalizas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",2800.0,-0.07
Lechuga Batavia,Verduras y hortalizas,"oMoeodoeololoíono,o oCoMoAo",1272.0,0.08
Lechuga Batavia,Verduras y hortalizas,"oNoeoiovoao,o oSouoroaoboaosotoooso",2160.0,0.0
Lechuga Batavia,Verduras y hortalizas,"oPoaosotooo,o oEolo oPoootoroeoroiololooo",1538.0,0.0
Lechuga Batavia,Verduras y hortalizas,"oPoeoroeoioroao,o o oLoao o4o1o-oIomopoaoloao",2361.0,0.05
Lechuga Batavia,Verduras y hortalizas,"oPoeoroeoioroao,o o oMoeorocoaosoao",2417.0,0.05
Lechuga Batavia,Verduras y hortalizas,oSoaonotoao oMoaorotoao,2958.0,-0.03
Lechuga Batavia,Verduras y hortalizas,oTouonojoao,1667.0,0.06
Pepino cohombro,Verduras y hortalizas,"oAoromoeonoioao,o oMoeorocoaoro",1767.0,0.0
Pepino cohombro,Verduras y hortalizas,"oBooogoootoáo,o oCoooroaoboaosotoooso",4625.0,0.01
Pepino cohombro,Verduras y hortalizas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",2750.0,-0.04
Pepino cohombro,Verduras y hortalizas,"oCoaoloio,o o oCoaovoaosoao",3000.0,0.07
Pepino cohombro,Verduras y hortalizas,"oCoúocouotoao,o oCoeonoaoboaosotoooso",3400.0,-0.04
Pepino cohombro,Verduras y hortalizas,"oIoboaogouoéo,o oPoloaozoao oLoao o2o1o",3333.0,-0.16
Pepino cohombro,Verduras y hortalizas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",2800.0,-0.07
Pepino cohombro,Verduras y hortalizas,"oMoeodoeololoíono,o oCoMoAo",3575.0,-0.01
Pepino cohombro,Verduras y hortalizas,"oNoeoiovoao,o oSouoroaoboaosotoooso",3333.0,-0.04
Pepino cohombro,Verduras y hortalizas,"oPoaosotooo,o oEolo oPoootoroeoroiololooo",2650.0,-0.02
Pepino cohombro,Verduras y hortalizas,"oPoeoroeoioroao,o o oLoao o4o1o-oIomopoaoloao",3700.0,-0.03
Pepino cohombro,Verduras y hortalizas,"oPoeoroeoioroao,o o oMoeorocoaosoao",3175.0,-0.02
Pepino cohombro,Verduras y hortalizas,oSoaonotoao oMoaorotoao,3380.0,0.02
Pepino cohombro,Verduras y hortalizas,oTouonojoao,3280.0,0.01
Pimentón,Verduras y hortalizas,"oAoromoeonoioao,o oMoeorocoaoro",2967.0,0.0
Pimentón,Verduras y hortalizas,"oBooogoootoáo,o oCoooroaoboaosotoooso",4775.0,0.01
Pimentón,Verduras y hortalizas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",6625.0,0.15
Pimentón,Verduras y hortalizas,"oCoaoloio,o o oCoaovoaosoao",3883.0,-0.05
Pimentón,Verduras y hortalizas,"oCoúocouotoao,o oCoeonoaoboaosotoooso",6007.0,0.06
Pimentón,Verduras y hortalizas,"oIoboaogouoéo,o oPoloaozoao oLoao o2o1o",4317.0,-0.04
Pimentón,Verduras y hortalizas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",4500.0,-0.1
Pimentón,Verduras y hortalizas,"oMoeodoeololoíono,o oCoMoAo",4538.0,0.09
Pimentón,Verduras y hortalizas,"oNoeoiovoao,o oSouoroaoboaosotoooso",3810.0,0.07
Pimentón,Verduras y hortalizas,"oPoaosotooo,o oEolo oPoootoroeoroiololooo",4107.0,0.02
Pimentón,Verduras y hortalizas,"oPoeoroeoioroao,o o oLoao o4o1o-oIomopoaoloao",4767.0,0.06
Pimentón,Verduras y hortalizas,"oPoeoroeoioroao,o o oMoeorocoaosoao",4500.0,0.0
Pimentón,Verduras y hortalizas,oSoaonotoao oMoaorotoao,4083.0,0.03
Pimentón,Verduras y hortalizas,oTouonojoao,4696.0,-0.01
Remolacha,Verduras y hortalizas,"oAoromoeonoioao,o oMoeorocoaoro",1627.0,0.0
Remolacha,Verduras y hortalizas,"oBooogoootoáo,o oCoooroaoboaosotoooso",1333.0,0.03
Remolacha,Verduras y hortalizas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",1409.0,-0.06
Remolacha,Verduras y hortalizas,"oCoaoloio,o o oCoaovoaosoao",1764.0,-0.07
Remolacha,Verduras y hortalizas,"oCoúocouotoao,o oCoeonoaoboaosotoooso",1733.0,0.04
Remolacha,Verduras y hortalizas,"oIoboaogouoéo,o oPoloaozoao oLoao o2o1o",1733.0,0.08
Remolacha,Verduras y hortalizas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",2182.0,-0.14
Remolacha,Verduras y hortalizas,"oMoeodoeololoíono,o oCoMoAo",2100.0,0.0
Remolacha,Verduras y hortalizas,"oNoeoiovoao,o oSouoroaoboaosotoooso",1813.0,-0.03
Remolacha,Verduras y hortalizas,"oPoeoroeoioroao,o o oMoeorocoaosoao",2200.0,0.02
Remolacha,Verduras y hortalizas,oSoaonotoao oMoaorotoao,1917.0,0.12
Remolacha,Verduras y hortalizas,oTouonojoao,1100.0,-0.02
Tomate,Verduras y hortalizas,"oAoromoeonoioao,o oMoeorocoaoro",4924.0,0.0
Tomate,Verduras y hortalizas,"oBooogoootoáo,o oCoooroaoboaosotoooso",4290.0,-0.09
Tomate,Verduras y hortalizas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",3920.0,-0.15
Tomate,Verduras y hortalizas,"oCoaoloio,o o oCoaovoaosoao",4858.0,-0.01
Tomate,Verduras y hortalizas,"oCoúocouotoao,o oCoeonoaoboaosotoooso",4757.0,-0.01
Tomate,Verduras y hortalizas,"oIoboaogouoéo,o oPoloaozoao oLoao o2o1o",4533.0,0.01
Tomate,Verduras y hortalizas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",4545.0,0.0
Tomate,Verduras y hortalizas,"oMoeodoeololoíono,o oCoMoAo",4663.0,0.08
Tomate,Verduras y hortalizas,"oNoeoiovoao,o oSouoroaoboaosotoooso",4058.0,-0.14
Tomate,Verduras y hortalizas,"oPoaosotooo,o oEolo oPoootoroeoroiololooo",3625.0,-0.04
Tomate,Verduras y hortalizas,"oPoeoroeoioroao,o o oLoao o4o1o-oIomopoaoloao",4767.0,-0.02
Tomate,Verduras y hortalizas,"oPoeoroeoioroao,o o oMoeorocoaosoao",4833.0,0.04
Zanahoria,Verduras y hortalizas,"oAoromoeonoioao,o oMoeorocoaoro",1694.0,0.0
Zanahoria,Verduras y hortalizas,"oBooogoootoáo,o oCoooroaoboaosotoooso",1861.0,0.08
Zanahoria,Verduras y hortalizas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",1375.0,-0.02
Zanahoria,Verduras y hortalizas,"oCoúocouotoao,o oCoeonoaoboaosotoooso",1117.0,0.0
Zanahoria,Verduras y hortalizas,"oIoboaogouoéo,o oPoloaozoao oLoao o2o1o",1907.0,-0.09
Zanahoria,Verduras y hortalizas,"oMoeodoeololoíono,o oCoMoAo",878.0,0.05
Zanahoria,Verduras y hortalizas,"oNoeoiovoao,o oSouoroaoboaosotoooso",2000.0,-0.06
Zanahoria,Verduras y hortalizas,"oPoaosotooo,o oEolo oPoootoroeoroiololooo",750.0,0.05
Zanahoria,Verduras y hortalizas,oSoaonotoao oMoaorotoao,1417.0,-0.07
Zanahoria,Verduras y hortalizas,oTouonojoao,1010.0,0.01
Aguacate,Frutas frescas,"oBooogoootoáo,o oCoooroaoboaosotoooso",9438.0,-0.01
Aguacate,Frutas frescas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",9000.0,0.0
Aguacate,Frutas frescas,"oCoaoloio,o o oCoaovoaosoao",8708.0,-0.02
Aguacate,Frutas frescas,"oCoúocouotoao,o oCoeonoaoboaosotoooso",8000.0,-0.05
Aguacate,Frutas frescas,"oIoboaogouoéo,o oPoloaozoao oLoao o2o1o",8000.0,0.0
Aguacate,Frutas frescas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",7000.0,0.0
Aguacate,Frutas frescas,"oMoeodoeololoíono,o oCoMoAo",7875.0,-0.03
Aguacate,Frutas frescas,"oNoeoiovoao,o oSouoroaoboaosotoooso",8333.0,0.0
Aguacate,Frutas frescas,"oPoeoroeoioroao,o o oLoao o4o1o-oIomopoaoloao",9167.0,0.04
