codigo_estacion,nombre_estacion,departamento,municipio,latitud,longitud,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,anual,indicador
23175020,Aeropuerto Otú,ANTIOQUIA,REMEDIOS,7.01,-74.72,70.3,54.3,89.2,236.1,297.7,285.6,242.4,297.1,308.4,302.1,238.3,95.9,2517.5,Precipitacion_Normal_mm
27010310,Santa Maria,ANTIOQUIA,REMEDIOS,7.08,-74.78,79.6,75.8,144.2,327.1,448.3,396.7,342.3,384.7,378.0,334.0,224.3,121.5,3256.5,Precipitacion_Normal_mm
23080280,Chuscal,ANTIOQUIA,RETIRO,6.15,-75.37,66.7,71.3,128.8,239.3,250.5,174.0,142.2,187.5,213.1,261.8,205.6,112.1,2053.0,Precipitacion_Normal_mm
23080250,El Retiro,ANTIOQUIA,RETIRO,6.05,-75.52,76.5,87.9,142.5,249.3,261.5,173.5,153.4,193.2,222.2,267.4,220.4,119.2,2167.0,Precipitacion_Normal_mm
23080210,La Fe,ANTIOQUIA,RETIRO,6.1,-75.5,59.3,81.2,129.8,239.2,255.6,187.5,148.6,192.5,211.7,247.2,210.5,114.6,2077.8,Precipitacion_Normal_mm
23080230,Las Palmas,ANTIOQUIA,RETIRO,6.15,-75.53,65.3,77.8,124.5,223.1,233.8,170.7,128.2,149.1,193.4,236.9,213.4,99.4,1915.5,Precipitacion_Normal_mm
23080270,La Masacre Rionegro,ANTIOQUIA,RIONEGRO,6.15,-75.37,51.0,64.0,98.0,202.8,234.0,172.8,165.8,208.6,223.1,245.7,177.8,84.1,1927.7,Precipitacion_Normal_mm
23080290,Montijo,ANTIOQUIA,RIONEGRO,6.13,-75.43,56.9,75.5,103.8,199.8,229.3,167.4,153.1,196.2,205.0,246.7,214.1,91.5,1939.3,Precipitacion_Normal_mm
23080240,Vasconia,ANTIOQUIA,RIONEGRO,6.2,-75.48,74.3,104.8,121.8,258.8,278.0,176.5,141.8,197.1,223.2,304.4,234.2,118.8,2233.7,Precipitacion_Normal_mm
26210110,Peñalisa,ANTIOQUIA,SALGAR,5.93,-75.86,82.5,76.6,129.3,240.1,385.4,277.4,252.9,280.2,304.6,399.8,277.9,141.0,2847.8,Precipitacion_Normal_mm
26230130,Cruces Arriba,ANTIOQUIA,SAN ANDRÉS,6.89,-75.62,54.9,71.9,105.1,225.7,297.5,203.1,200.2,201.2,280.8,335.2,206.9,93.1,2275.4,Precipitacion_Normal_mm
26230110,San Andrés,ANTIOQUIA,SAN ANDRÉS,6.91,-75.67,60.1,82.7,82.5,178.2,219.3,160.6,139.6,160.8,176.0,209.6,155.2,106.3,1730.6,Precipitacion_Normal_mm
23080490,San Carlos,ANTIOQUIA,SAN CARLOS,6.2,-74.98,157.6,133.5,231.4,407.2,450.5,278.2,282.3,402.2,485.2,528.1,405.7,238.8,4000.7,Precipitacion_Normal_mm
23080580,Linderos,ANTIOQUIA,SAN CARLOS,6.3,-74.82,90.6,83.0,165.5,252.6,314.8,251.6,209.3,270.2,339.5,337.5,213.6,107.5,2635.8,Precipitacion_Normal_mm
27010940,San Bernardo,ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA,6.85,-75.58,48.6,57.3,97.3,215.7,279.4,198.9,172.7,180.9,224.0,276.5,183.0,91.8,2025.9,Precipitacion_Normal_mm
12030010,San Juan de Urabá,ANTIOQUIA,SAN JUAN DE URABÁ,8.76,-76.53,42.2,48.7,39.8,126.3,287.5,215.7,223.8,221.8,240.4,257.2,231.5,115.7,2050.7,Precipitacion_Normal_mm
26230090,Aurra,ANTIOQUIA,SAN PEDRO,6.42,-75.62,39.8,65.9,83.7,155.1,168.8,136.2,114.0,138.1,163.2,195.7,159.4,74.3,1494.2,Precipitacion_Normal_mm
27010520,Riochico,ANTIOQUIA,SAN PEDRO,6.5,-75.48,38.8,57.2,97.1,169.8,215.9,204.8,182.8,209.9,205.5,215.0,137.0,69.2,1802.9,Precipitacion_Normal_mm
23080610,El Bizcocho,ANTIOQUIA,SAN RAFAEL,6.32,-75.08,176.5,168.7,262.4,461.6,500.0,314.7,317.1,413.7,492.1,605.4,471.2,249.7,4433.0,Precipitacion_Normal_mm
23080570,El Pital,ANTIOQUIA,SAN RAFAEL,6.3,-74.9,101.5,104.0,166.4,341.2,411.3,279.5,254.5,336.4,387.4,400.6,282.3,138.2,3203.4,Precipitacion_Normal_mm
23080730,El Tejar,ANTIOQUIA,SAN RAFAEL,6.3,-75.03,191.3,170.0,280.7,413.4,508.2,362.4,375.0,492.0,504.6,498.7,366.4,220.2,4382.9,Precipitacion_Normal_mm
23080460,La Pradera,ANTIOQUIA,SAN RAFAEL,6.28,-74.98,112.5,114.7,198.8,365.9,430.6,277.5,252.4,342.4,448.9,453.6,323.9,169.1,3490.3,Precipitacion_Normal_mm
23080420,San Lorenzo,ANTIOQUIA,SAN RAFAEL,6.38,-74.98,118.7,128.3,185.0,368.1,438.1,278.2,254.9,340.9,422.9,422.5,318.4,178.7,3454.7,Precipitacion_Normal_mm
23080500,San Roque,ANTIOQUIA,SAN ROQUE,6.5,-75.02,136.6,124.1,190.2,358.2,497.8,258.4,294.4,407.2,431.3,433.6,314.8,166.0,3612.5,Precipitacion_Normal_mm
23080340,Riobajo,ANTIOQUIA,SAN VICENTE,6.25,-75.32,58.0,65.1,104.8,206.4,249.2,187.9,167.9,202.5,230.5,264.9,180.4,87.5,2004.9,Precipitacion_Normal_mm
23080380,San Vicente,ANTIOQUIA,SAN VICENTE,6.28,-75.33,56.0,85.1,115.4,255.8,276.4,194.9,163.2,208.1,231.8,294.2,211.4,96.2,2188.3,Precipitacion_Normal_mm
27010550,Aragón,ANTIOQUIA,SANTA ROSA DE OSOS,6.78,-75.57,61.1,78.9,99.5,219.8,242.8,176.2,155.2,165.0,199.3,259.3,196.9,91.8,1945.7,Precipitacion_Normal_mm
