estacion,departamento,municipio,latitud,longitud,altitud,tipo_de_estacion,promedio_anual,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic
Santa Isabel-Valdivia,Antioquía,Valdivia,7.16,-75.44,1132,Automática,4213.8,4018.2,4197.1,4053.7,3978.8,3976.7,4276.8,4630.9,4575.3,4512.5,4188.8,4097.1,4059.6
Vegachí,Antioquía,Vegachí,6.77,-74.8,990,Automática,4536.5,4364.9,4419.2,4177.8,4195.5,4394.3,4918.1,5216.9,5055.9,4911.2,4330.3,4174.1,4279.5
Aeropuerto Santiago Pérez,Arauca,Arauca,7.07,-70.74,128,Convencional,4621.8,5156.3,4484.1,4617.1,4395.5,4292.6,4204,4299.1,4416.1,4895.9,4702.5,4786.5,5212.4
Las Flores,Atlántico,Barranquilla,11.04,-74.82,8,Automática,5599.7,6212.7,6025,6297.6,5660.4,5566.3,5696.4,5830.2,5520.2,5060.8,4800.3,4899.6,5627.4
Repelón,Atlántico,Repelón,10.49,-75.13,10,Automática,5364.8,5592.7,5763,5799.6,5747.3,4962.6,5494.7,5581.5,5475.8,5313.3,4595.5,4724.3,5327.4
Aeropuerto Ernesto Cortissoz,Atlántico,Soledad,10.92,-74.78,14,Automática,5016.1,5718.6,5950,5640.9,5090.3,4279.2,4716.3,4855.8,4894.7,4952,4288.8,4426.3,5380.4
Carmen de Bolívar,Bolívar,Carmen de Bolívar,9.72,-75.11,152,Automática,4797,4763.7,5120.2,5124.2,4895.3,4607.7,5217.8,5302.6,5154.6,4548,4173.5,4182.5,4473.3
Aeropuerto Rafael Núñez,Bolívar,Cartagena,10.45,-75.52,2,Convencional,5531.6,6194.8,6260.3,6378.8,6012.8,4951.4,4988.7,5644.2,5213.1,5291.3,5014.5,4988.2,5441.3
Aquitania,Boyacá,Aquitania,5.56,-72.88,3021,Automática,4492.8,5224.2,5426.7,4704.9,4227,4038.7,4057.2,3950.3,4045.8,4318.5,4420.6,4448.7,5051.5
Chinavita,Boyacá,Chinavita,5.22,-73.35,2012,Automática,2982.8,3534.1,3491.7,3076.8,2806.7,2659.8,2538.3,2384.1,2599.3,2754.1,3155.5,3225.7,3567.5
Esclusa Tolón,Boyacá,Chiquinquirá,5.62,-73.78,2545,Convencional,4417,4856.7,4141.4,4626.4,3980.9,3855.3,4400.8,5213.7,4458.9,4685.7,4313.6,4385.7,4084.5
La sierra,Boyacá,Duitama,5.97,-73.16,2700,Convencional,4232.7,4472.3,4428.3,4064.9,3990.4,4095.4,4297.7,4292.7,4387.1,4349.2,4074.5,3886.8,4453
Surbata Bonza,Boyacá,Duitama,5.8,-73.07,2485,Convencional,4758.8,4932.3,4939.8,4988.8,4741.5,4642.7,4407.6,4548.5,4637,4701.1,4785.6,4827.2,4953
La Capilla,Boyacá,La Capilla,5.1,-73.44,1917,Automática,4314,4859.7,4935.5,4412.8,4118.4,4046,3552.4,3405.8,3695.2,4452.8,4747.4,4637.9,4903.9
Belencito,Boyacá,Nobsa,5.78,-72.89,2530,Convencional,4384,4686,4775.3,4541.8,3789.5,3996.1,4364.1,4476.5,4694.1,4329.6,4106.7,4142.5,4705.7
Tunguavita,Boyacá,Paipa,5.75,-73.12,2470,Automática,4667.3,5440.6,5372.9,4733.9,4309.5,4301.6,4333.2,4420.2,4376.1,4330.7,4518.5,4726.1,5144.6
San Miguel De Sema,Boyacá,San Miguel de Sema,5.52,-73.72,2600,Convencional,4332.5,4716,4190.3,4821.8,4315.9,4120.5,4155.4,4419.4,4388,4542.7,3708.8,4150.7,4460.1
San Pablo de Borbur,Boyacá,San Pablo de Borbur,5.65,-74.07,742,Automática,4616.9,4692.1,4471,4128.1,4522.1,4180.8,4598.8,4718.9,4925.9,4972.6,4771.4,4604.2,4817.4
Santa María,Boyacá,Santa María,4.84,-73.26,1300,Automática,3474.7,3935.8,3737.6,3256.9,3245.3,3072.9,2850.1,2861.5,3346.4,4063.5,4016,3631.2,3679.1
Socha,Boyacá,Socha,5.99,-73,2503,Automática,4519.4,5069.9,5244.5,4717.1,4271.2,4312.1,4243.7,4344.7,4337,4190.5,4311.4,4344.7,4846.4
Sogamoso,Boyacá,Sogamoso,5.75,-72.91,2495,Automática,4538,5246,5174.4,4656.8,4112.1,4217.8,4156.9,4348.4,4255,4212.4,4392.9,4550.4,5132.5
U P T C,Boyacá,Tunja,5.54,-73.36,2690,Convencional,4501.1,5061,4979.7,4855.5,4479.6,4198.1,4143,4167.1,4289.4,4412.5,4537.3,4341.2,4548.1
Villa de Leyva,Boyacá,Villa de Leyva,5.66,-73.54,2215,Convencional,4356.4,4737.2,4705,4501.9,4185.6,4001.8,4191.2,4301.3,4454.2,4434.7,4382.4,4026.2,4354.7
Zetaquira,Boyacá,Zetaquira,5.29,-73.17,1436,Automática,3706.5,4344.4,4285.8,3823.2,3694.5,3506.6,3093.7,2862.9,3161.4,3529.7,3904.2,4034.1,4237.5
E.M.A.S.,Caldas,Manizales,5.09,-75.51,2211,Automática,3816.8,4116.3,4051.2,3783.9,3670.8,3508.3,3584.7,4046,4004.1,4114.5,3705.9,3486.6,3729
Villamaría,Caldas,Villamaría,5.05,-75.51,1906,Automática,4192.6,4529.4,4440.3,4299.7,4068,3895.9,3886.1,4204.5,4204.1,4351.1,4143.7,4064.1,4223.7
Maguare,Caquetá,El Doncello,1.64,-75.16,270,Convencional,3843.9,4407.6,4128.1,3630.6,3309.3,3492.4,3013.8,3292.8,3706.4,4051.9,4302.1,4112.8,4678.6
Florencia,Caquetá,Florencia,1.62,-75.6,280,Sutron,3478.6,3738.2,3703.9,3383.5,3588.2,3065,3170.2,3225.2,3084.6,3542,3521.3,3957.8,3763.2
Florencia - deslizamiento,Caquetá,Florencia,1.73,-75.65,600,Automática,3435.9,3825.7,3728.5,3281.1,3337,3093.7,3012.7,3027.5,3301.6,3726.6,3644.2,3542.5,3709.4
Macagual - Florencia,Caquetá,Florencia,1.5,-75.66,280,Automática,3613.6,4082.3,3952.6,3349.6,3485.4,3004.8,3193.8,3137.7,3577.7,3770,3939,3951.1,3918.7
San Vicente del Caguan,Caquetá,San Vicente del Caguán,2.06,-74.76,300,Automática,4367.9,4816.8,4553.2,4117.6,4020.5,4038.4,3674.4,3776.4,4182.5,4940.3,4735.4,4670.3,4889.2
Araracuara,Caquetá,Solano,-0.62,-72.38,150,Convencional,3989.3,4082,3761.7,3836.1,4018.8,3746.3,3301.8,4039.1,4227.2,4370.3,4343.3,4091.3,4053.5
El Diamante,Casanare,Paz de Ariporo,5.82,-71.42,160,Automática,4891.6,5288.9,5445.6,4949.7,4555.3,4635.4,4244.8,4246.6,4716.2,5231.6,5276.8,4979.8,5128.2
Aeropuerto Yopal (El Alcaraván),Casanare,Yopal,5.32,-72.39,325,Automática,4947.5,5747.4,5595,4889.3,4511.8,4430.1,4357.2,4283.2,4528.4,5192.6,5129.7,5183.4,5521.8
El Diviso,Cauca,Argelia,2.31,-77.26,1750,Automática,4774.5,4172.6,4430.9,4461.1,4472.1,4780.2,5236.2,5330,5522,5454.3,4882.5,4241.9,4310.8
Balboa,Cauca,Balboa,2.03,-77.22,1700,Automática,3732.2,3744.8,3576.4,3496.1,3366.4,3408.4,3609.7,4127.3,4642.1,4355.5,3743.9,3242.2,3473.9
Aeropuerto Guapi,Cauca,Guapi,2.57,-77.89,42,Automática,3426.3,3164.6,3338.1,3481.1,3839.5,3474.7,3465,3398,3726,3734.7,3316.3,2990.7,3186.5
Gorgona,Cauca,Guapi,2.96,-78.17,10,Sutron,3129.7,3442.8,3908.9,3930.2,3461.5,2894.3,2592,2667.4,2947.2,3062.2,2951,2800,2898.9
Inza,Cauca,Inza,2.55,-76.06,1800,Automática,4200.3,4582,4473.9,4253.6,4213,3991.9,3736.9,3968.2,3801.9,4240.7,4346,4360,4435.5
La Sierra,Cauca,La Sierra,2.19,-76.75,1870,Automática,4654.2,4946.6,4865.3,4287.3,4030.6,4424.6,4611.6,4979.7,4932.9,4811.2,4602.9,4509.7,4847.4
Estrecho Patía,Cauca,Patia,1.96,-77.12,720,Automática,4954.9,5599.7,5094.1,4960.1,4842.2,4573.7,4603.1,4632.3,4919.9,5136.6,5093.4,4926.4,5077.5
Arrayanales,Cauca,Popayán,2.45,-76.44,2552,Automática,3129.4,3151.9,3086.2,2551.2,2904.9,2942.6,3278.9,3924.6,3984.7,3657.3,2763.6,2439.8,2867.7
ELTablazo,Cauca,Popayán,2.47,-76.58,1837,Automática,4153,4440.5,4574,4096.5,3938.2,3804,3894.9,4349.7,4579.1,4318.2,4004.6,3719.1,4116.9
Aguachica,Cesar,Aguachica,8.12,-73.58,103,Automática,5092.6,5102.1,5727.6,5355.8,4722,4951,5097.1,5624.1,5449,5099.9,4954.4,4406.5,4621.5
Motilonia Codazzi,Cesar,Agustín Codazzi,10,-73.25,180,Convencional,4528.8,4368.9,4597.2,4753.8,4607.4,4598,4475.3,4392.5,4468.9,4634.5,4648.6,4355.3,4445.6
La Loma-Carbones del Cesar,Cesar,El Paso,9.64,-73.52,138,Automática,5439.8,5062.9,5804.5,5818.7,6036.8,5359.6,5693.5,6053.2,6002.9,5291.5,4774.8,4602,4776.9
Fedearroz,Cesar,Valledupar,10.46,-73.25,184,Automática,5431.1,5533.1,5844,5531.7,5629.6,5402.4,5648.2,5716.6,5482.3,5202.7,4982,4973,5227.2
Capurgana,Chocó,Acandi,8.62,-77.33,19,Automática,4231.3,4054.4,4016.9,4192.8,4205,3983.9,4555.6,4559.3,4523.2,4496.9,4365.9,3924.2,3897.2
Aeropuerto Los Garzones,Córdoba,Monteria,8.83,-75.83,20,Automática,4574.4,4947.3,5089.9,4790.3,4714.2,4213.8,4451.6,4679.5,4765.1,4354.3,4133.8,4187.4,4565.4
Eldorado Catam - AUT,Cundinamarca,Bogotá,4.71,-74.15,2547,Automática,3992,4695,4499.9,3957.2,3594.5,3500.9,3725.8,3810.3,4019,3887.3,3932.9,3945.5,4335.3
Eldorado Didáctica,Cundinamarca,Bogotá,4.7,-74.15,2546,Convencional,4037.2,4688.5,4335.4,4322.4,3716.7,3506,3658.9,3919.3,4168.5,3950.4,3964.8,4016.2,4199.1
IDEAM Bogotá Centro,Cundinamarca,Bogotá,4.6,-74.07,2646,Automática,3749.5,3930.4,4009.3,3513.9,3559.5,3524.4,3757.5,4145.5,4205.1,4195.5,3494.3,3128.1,3530
Nueva Generación,Cundinamarca,Bogotá,4.78,-74.09,2590,Automática,3632.4,4074.3,3983.7,3659.5,3383.7,3344.9,3513.7,3601.8,3730.3,3697.6,3474.4,3378.1,3746.7
Universidad Nacional,Cundinamarca,Bogotá,4.64,-74.09,2556,Automática,3936.7,4551.6,4403.7,3575.8,3600.2,3620.9,3830.3,4029,4088.5,3935.2,3764,3649.3,4191.6
Villa Teresa,Cundinamarca,Bogotá,4.35,-74.15,3624,Automática,3933.1,4611.1,4386.4,3713,3392.2,3690.3,3838.3,3945.3,3824.2,4016.2,3845.2,3676.2,4258.2
La Iberia,Cundinamarca,Chocontá,5.03,-73.72,2760,Convencional,4114.6,4726.4,4235.6,4786.9,3986.8,3885.6,3814.6,3479.7,3339,4026.3,4517.1,4345,4232.2
Represa del Neusa,Cundinamarca,Cogua,5.15,-73.98,3100,Convencional,4025.7,4626.4,4047.2,4254.3,3776.3,3633.2,3525.1,3700.7,4154.2,4254.3,3967,4036.8,4333.3
La Ramada,Cundinamarca,Funza,4.72,-74.18,2545,Convencional,4392.2,4376.5,3930.7,4408.1,4036.3,4249.8,4152.4,4445.7,4618.1,4639.2,4585.3,4520.7,4743.6
Universidad de Cundinamarca,Cundinamarca,Girardot,4.31,-74.81,309,Automática,5216.4,5058.1,5102,4931.5,4964.6,4980.6,5108.7,5532.8,5699,5745.8,5416.7,4965.2,5092
Santa Cruz de Siecha,Cundinamarca,Guasca,4.78,-73.87,3100,Automática,3775.3,4254.4,4154.6,3647.9,3534.5,3586.6,3703.8,3746,3662,3600.9,3670.8,3646.1,4096.4
Tibaitatá,Cundinamarca,Mosquera,4.69,-74.21,2543,Automática,4134.6,4753.2,4782.5,4133.3,3884,3620.9,3838.6,3894.6,4117.6,4202,4048.3,3985.8,4354.4
Hacienda Santa Ana,Cundinamarca,Nemocón,5.09,-73.88,2572,Automática,4227.3,4852.4,4755.5,4050.5,3859.3,3943.4,4029.4,4132,4006.6,3914.1,4176.7,4232.7,4775.1
Pasca,Cundinamarca,Pasca,4.31,-74.31,2256,Automática,3938.9,4306.8,4127.2,3724.1,3859.5,3779.3,3823.5,3844.9,3923.6,4122.3,3927.8,3696.1,4131.5
Aeropuerto Palanquero,Cundinamarca,Puerto Salgar,5.47,-74.65,172,Convencional,5406.4,4933.4,4893.9,4535.7,5299.8,5977.8,5860.4,5533.6,5938.3,5385.9,5503.3,5432.4,5582.4
Quebrada Negra,Cundinamarca,Quebrada Negra,5.14,-74.48,1107,Automática,4562.8,4611.8,4732.4,4543.7,4428.4,4360.4,4449.3,4657.5,4463.8,4682.6,4664.1,4560.4,4599
San Cayetano,Cundinamarca,San Cayetano,5.33,-74.02,2807,Automática,3247.4,3286.9,3014.4,2888.6,3038.4,3266.7,3472.3,3639.9,3452.1,3534.6,3113.6,2843.4,3417.2
Muña,Cundinamarca,Sibaté,4.55,-74.25,2565,Convencional,4288.9,4419.4,4588,4455.5,3965.8,4119.3,4288,4596.2,4550.8,4505.5,3900.7,4008.9,4068.2
Simijaca,Cundinamarca,Simijaca,5.5,-73.85,2572,Convencional,5081.1,5074.2,5439.4,5824.3,4995.1,5002.1,4650.8,5382.4,5364.9,4948.6,4483.4,4817.1,4990.4
La Primavera,Cundinamarca,Subachoque,4.85,-74.22,2590,Convencional,4424.6,4683.4,4548.5,4952.1,4201.9,4114.7,4184.5,4360.1,4240.3,4505.5,4297.3,4614.8,4392.7
Tabio,Cundinamarca,Tabio,4.77,-73.93,2620,Convencional,3779.9,4677.6,3777.4,3805.3,3307.6,3404.1,3665.8,3500.6,3676.2,3559.9,3771.6,4264.7,3948.4
La Boyera,Cundinamarca,Villa de San Diego de Ubaté,5.3,-73.85,2610,Automática,4257.1,4804.3,4808.3,4258.3,3974.7,3909.6,4003.8,4011.9,4180.1,4341.6,4195.2,4060.5,4537.6
Novilleros,Cundinamarca,Villa de San Diego de Ubaté,5.33,-73.78,2550,Convencional,4229.9,4565.9,4453.1,4717.1,4170.5,3970.5,3796,4007.7,4212.4,4322.9,4324,4003,4215.9
Villeta,Cundinamarca,Villeta,5.02,-74.47,878,Automática,4616.2,4840.3,4653.3,4508.4,4469.1,4410.7,4234.8,4421.4,4517.7,4666.4,4849.7,4905.2,4917.2
Puerto Inírida,Guainía,Puerto Inírida,3.87,-67.92,100,Sutron,4054.1,4508,4332.7,3947.3,4146,3641.3,3849.7,3530.6,3858.1,4289.3,4147.5,4153.7,4245.6
Hacienda Manila,Huila,Baraya,3.13,-75.08,600,Automática,5126.1,5485.5,5252.5,4881.4,5064.5,5154.5,4934,5063.2,4929.3,5227.2,5145.2,5131.5,5244.9
Hidrobetania,Huila,Campoalegre,2.71,-75.42,500,Convencional,4437.3,4462.7,4431.4,4188.8,4068.3,4320.4,4534.1,4454.1,4371.1,4825.7,4491.8,4712.5,4387.3
La Plata,Huila,Neiva (rural),2.76,-75.07,2101,Automática,3840.6,4297,3893.2,3578.7,3619.3,3738.3,3750.6,3769,3763.8,4132.8,3878.9,3830.8,3834.5
Aeropuerto Benito Salas,Huila,Neiva,2.95,-75.29,439,Convencional,4645.9,4836,4700.4,4601.2,4614.6,4546.2,4550.1,4509.7,4656.6,4785.1,4782.3,4551.1,4618
Los Guacharos,Huila,Palestina,1.68,-76.11,1590,Automática,3380.1,3744.2,3385.3,2988.5,3323.4,3254.2,3235.6,3297.6,3286,3894.5,3428,3333.2,3390.8
Marengo,Huila,Pitalito,2.22,-76.12,1550,Automática,4158,4632.9,4189.4,3852.5,4291.6,4198,3902.1,3719.5,3824.9,4475,4254.9,4217,4338.1
La Primavera,Huila,Salado Blanco,2.02,-76.11,1919,Automática,3900.7,4087.2,3736,3625.3,4061.1,4192.9,3898.3,3770.3,4014.8,4486.1,4071.8,3473.8,3391.4
Parque Arqueológico,Huila,San Agustín,1.89,-76.29,1800,Convencional,4569.6,4716.9,4657.5,4311.1,4468.7,4602.3,4384.2,4136.8,4228.7,4894.9,4829.1,4777.9,4826.6
Puracé,Huila,San Agustín,1.93,-76.43,1900,Automática,4027.9,4173.6,4539.4,3981.4,3940.8,4073.7,3616.2,3058.2,3531.6,4054.9,4353.1,4384.1,4627.5
La Mina,La Guajira,Albania,11.14,-72.62,80,Convencional,5031.5,5091.6,4717,5105.4,5019,5030.2,5188.9,5309.6,5527.4,5076.4,5037.9,4775.6,4498.9
La Mina,La Guajira,Albania,11.14,-72.62,80,Automática,5035.2,5098.8,5288.1,5208,5021.5,4899.2,5066.9,5492.7,5039.5,4865.1,4840.8,4675.3,4927
Aeropuerto Almirante Padilla,La Guajira,Riohacha,11.53,-72.92,4,Automática,5326.3,4659.3,5202.9,5492,5370.8,5470.5,5951.1,6119.2,6038.3,5585.1,4961.4,4463.4,4601.7
Granja Paicí,La Guajira,Uribia,11.59,-72.33,45,Automática,5600.8,5481.3,5959.7,5409.1,5859.2,5537.4,6162.8,6183,6010,5686.4,4990.7,4944,4985.4
Nazareth,La Guajira,Uribia,12.18,-71.28,85,Convencional,5034.8,4868,4763.8,5365.8,5023.6,4880.2,6076,5644.8,5511,5075.2,4559.4,4389.1,4260.7
Aeropuerto Puerto Bolívar,La Guajira,Uribia,12.22,-71.98,10,Automática,5665.8,5310.1,5770.7,5932.8,5651.2,5735.1,5841.8,6316.9,6239.5,6042.5,5286.7,4806.4,5055.6
Toromaná,La Guajira,Uribía,12.08,-71.21,144,Automática,5384.3,4741.7,5078.1,5801.9,5406,5542.7,5924.4,6307.4,5793.6,5895.2,4785.7,4691.7,4642.9
La Gran Via,Magdalena,Aracataca,10.85,-74.13,30,Automática,5074.6,5220.7,5421,5299.8,5339.3,5362.3,5122.4,5148,4994.4,4885.5,4607.7,4575.2,4919.1
Batallón No. 6,Magdalena,Fundación,10.47,-73.93,1280,Automática,3949.1,4423.5,4998.5,4598.5,3711.2,3282.1,3723,3834.7,3671.4,3919.6,3668.1,3604.1,3954.7
Universidad Tecnológica de Magdalena,Magdalena,Santa Marta,11.22,-74.19,7,Automática,5637.3,5927.7,6273.6,6081.5,6079.3,5872.3,5736.6,5689.1,5368.1,5492.3,4885.7,4803,5438.5
Prado Sevilla,Magdalena,Zona Bananera,10.76,-74.15,18,Convencional,5397.8,5373.1,5563.2,5698.7,5694,5349.7,5395.3,5554.9,5434.7,5109.5,5166.9,5025.1,5408.8
La Holanda,Meta,Granada,3.52,-73.72,360,Convencional,4202.4,4850.5,4433.9,4020.9,3812.4,3901.2,3905.6,3895.6,3945.5,4458.8,4332,4512.3,4360.3
La Palomera,Meta,Puerto López,4.26,-72.56,188,Automática,4505.6,5018.9,5136.2,4506.1,4238.3,4073.9,3898.4,3885.8,4345.3,4649.5,4664.1,4658.4,4992.1
Salinas de Upin,Meta,Restrepo,4.27,-73.59,690,Automática,2854.6,3026.6,2900.4,2663.7,2701.7,2549.1,2418.6,2423.8,2950.8,3611.5,3248.5,2811.8,2948.6
Aeropuerto Vanguardia,Meta,Villavicencio,4.16,-73.62,422,Convencional,4749.6,4784.9,4512.4,4337.1,4565.8,4699.2,4639.5,4542.9,4993.2,5317.8,5286.1,4736.4,4580
ICA Villavicencio,Meta,Villavicencio,4.14,-73.63,444,Automática,4704.3,5207.6,4741.6,4376,4406.7,4422.2,4242.7,4358.2,4585.3,5264.8,5102,4839.2,4905.6
La Libertad,Meta,Villavicencio,4.06,-73.47,336,Automática,4928.9,5148.4,5309.3,4874.4,4789.8,4971.3,4474.4,4490.5,4913.2,5408.8,4986.7,4771.8,5008.3
Aeropuerto San Luis,Nariño,Aldana,0.86,-77.68,2961,Convencional,4113.7,4236,3950.9,3902.6,3980.9,4161.5,4337.7,4301.9,4058.9,4203.6,4230.1,3997,4003.5
La Josefina,Nariño,Contadero,0.93,-77.49,2450,Automática,4352.3,4136.7,4331.1,4121.4,4402.2,4386.4,4511.6,4522.8,4142.9,4444.8,4541.3,4311.3,4375
Botana,Nariño,Pasto,1.16,-77.28,2820,Automática,3759.2,3875.5,3552,3478.2,3687.9,3678.1,3711,3894.4,4000,4133.5,3843.3,3773.7,3483.2
Obonuco,Nariño,Pasto,1.2,-77.3,2710,Convencional,3518.6,3710.6,3417.9,3563.8,3574.7,3497.4,3302.1,3576.1,3555.9,3530.9,3544.8,3475.5,3473.3
Uninariño,Nariño,Pasto,1.23,-77.28,2626,Automática,4396.2,4437.7,4393.2,4194.1,4383.3,4242.2,4332.1,4221.8,4295.4,4413.3,4532.4,4658.1,4651.1
Cerro Paramo-Puerres,Nariño,Puerres,0.84,-77.39,3585,Automática,2434.9,2620.7,2537.1,2389.8,2564.4,2498.9,1871.4,1850.9,1849.4,2198.5,2945.6,3078.2,2814.1
Viento Libre,Nariño,Taminango,1.62,-77.34,1400,Automática,4816.6,4979,4514.9,4638.7,4697.4,4598.5,4811.9,4867.6,5099.3,5150,4862.3,4837,4743
El Paraíso,Nariño,Tuquerres,1.07,-77.64,3120,Automática,3731.7,3744.2,3634.7,3294.2,3698.5,3732.4,3747.1,3849.9,3966.7,3971.5,3782.4,3620.3,3738.5
Abrego,Norte de Santander,Abrego,8.09,-73.22,1430,Convencional,4730.3,4910.9,4804.9,4839.1,4582.7,4515.6,4841.7,4885.8,4719.4,4723.3,4720.8,4510.5,4709.2
Aeropuerto Camilo Daza,Norte de Santander,Cúcuta,7.93,-72.51,313,Automática,4907.1,4447.4,4578.4,4384.1,4823.4,5219.9,4992.4,5225.8,5732,5484.9,5001.8,4582.8,4411.8
Cinera Villa Olga,Norte de Santander,Cúcuta,8.17,-72.47,100,Convencional,5237.8,4185.4,4707.5,5086.7,4877.9,5321.1,5728.1,5741.8,6006.7,6141.4,5447.9,5005.4,4604.4
Universidad Francisco de Paula Santander,Norte de Santander,Cucuta,7.9,-72.49,311,Automática,5301.1,5023,5141.4,4711.4,4972.7,5453.3,5323.6,5431.4,5719.8,6155.4,5574.2,5229.7,4877.7
Alcaldía de Herrán,Norte de Santander,Herrán,7.51,-72.49,2040,Automática,3810.3,4111.5,4187,3712.1,3307.7,3535.5,3805.3,3969.3,4091.7,4155.3,3722.5,3465.5,3659.6
Aguas de la Virgen,Norte de Santander,Ocaña,8.23,-73.4,1700,Automática,3996.2,4163.5,4242.7,3774.4,3467.7,3959,4063.8,4347.1,4370.3,4431.5,3801.3,3365,3968.5
Unipamplona,Norte de Santander,Pamplona,7.36,-72.67,2362,Automática,4003.1,4399.4,4260.1,3730.6,3536.7,3655.3,3641.8,3865,4253.5,4347.8,4082.9,3845.6,4417.9
Salazar,Norte de Santander,Salazar,7.77,-72.83,860,Convencional,4902.1,4667.5,4557,4292.4,4549.9,5061.5,5032.8,5341.1,5515.6,5470.7,5036.9,4801.9,4497.3
Acueducto Mocoa,Putumayo,Mocoa,1.16,-76.65,650,Automática,3239.4,3501.1,2970.3,2938.8,3127.5,2872,2617.7,2715.3,3280.3,3758.4,3905.6,3721.4,3463.9
El Pepino,Putumayo,Mocoa,1.08,-76.67,760,Automática,3474.9,3622.2,3476.3,3157.7,3535.5,3321.2,2862.8,3124.3,3181.6,3744.4,3974.3,3894.8,3803.9
Armenia,Quindío,Armenia,4.53,-75.69,1485,Automática,4078.8,4144.2,4133.6,4057,3909.2,3724.8,3889.2,4358.1,4399,4522.1,4003.4,3999.8,3804.9
Aeropuerto El Edén,Quindío,Armenia,4.45,-75.77,1229,Automática,4872.4,5326.9,5109.6,4967.6,4757.1,4565.4,4544.3,4944,5391,5166.4,4979,4291.9,4425.6
Calarcá,Quindío,Calarcá,4.53,-75.6,2255,Automática,2789.6,3094,2856.6,2604.7,2491,2500.5,2669,2987.5,3203.3,3324.3,2666,2423.8,2654
Santa Emilia,Risaralda,Belen de Umbria,5.21,-75.9,1748,Automática,3954.7,3764.2,4148.9,4020.6,3522.4,3735.2,4271.8,4582.1,4533.6,4382.6,3703.8,3317.8,3473.9
Marsella,Risaralda,Marsella,4.93,-75.74,1659,Automática,4175,4320.6,4261.8,4321.3,4033.1,4012.6,4019.2,4375.4,4402,4425.4,4075.7,3950.6,3902.4
Aeropuerto Matecaña,Risaralda,Pereira,4.81,-75.74,1342,Automática,4549.8,4697,4882.9,4928.4,4389.2,4263.2,4229.4,4465,4795.3,4792.6,4471.9,4268.3,4414.8
Parque Nacional Natural Quimbaya,Risaralda,Pereira,4.76,-75.74,1881,Automática,3683.3,4018.4,3874,3582.8,3574.2,3521.1,3623.7,4017.6,3881.1,3983.2,3496.2,3164.7,3462.8
