codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida,valorobservado_lag_1,valorobservado_lag_2,valorobservado_lag_7,valorobservado_rolling_mean_7,valorobservado_rolling_std_7,valorobservado_rolling_mean_14,valorobservado_rolling_std_14,sin_mes,cos_mes,sin_dia_ano,cos_dia_ano,sin_dia_semana,cos_dia_semana
26095320,240,2020-03-11 02:50:00,0.0,EL VINCULO - AUT,VALLE DEL CAUCA,BUGA,CAUCA,3.834805556,-76.30000556,Precipitacion,mm,0.0,0.0,0.0,0.014285714285714287,0.03779644730092272,0.0071428571428571435,0.02672612419124244,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
26217010,240,2020-03-11 03:00:00,0.0,LA GALERA - AUT,ANTIOQUIA,SANTA FE DE ANTIOQUIA,CAUCA,6.554972222,-75.86419444,Precipitacion,mm,0.0,0.0,0.0,0.014285714285714287,0.03779644730092272,0.0071428571428571435,0.02672612419124244,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
26217010,240,2020-03-11 03:30:00,0.0,LA GALERA - AUT,ANTIOQUIA,SANTA FE DE ANTIOQUIA,CAUCA,6.554972222,-75.86419444,Precipitacion,mm,0.0,0.0,0.0,0.014285714285714287,0.03779644730092272,0.0071428571428571435,0.02672612419124244,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
36015501,240,2020-03-11 03:35:00,0.0,TAMARA  - AUT,CASANARE,TÁMARA,CASANARE,5.872219444,-72.11944167,Precipitacion,mm,0.0,0.0,0.1,0.0,0.0,0.0071428571428571435,0.02672612419124244,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
21205502,240,2020-03-11 03:40:00,0.3,MISIONES  - AUT,CUNDINAMARCA,EL COLEGIO,ALTO MAGDALENA,4.544997222,-74.44055556,Precipitacion,mm,0.0,0.0,0.0,0.04285714285714286,0.11338934190276817,0.028571428571428574,0.0825420305855557,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
44037080,240,2020-03-11 04:00:00,0.0,MORELIA  - AUT,CAQUETA,MORELIA,CAQUETÁ,1.497333333,-75.72497222,Precipitacion,mm,0.3,0.0,0.0,0.04285714285714286,0.11338934190276817,0.02857142857142857,0.0825420305855557,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
21205660,240,2020-03-11 04:10:00,0.8,MERCEDES - AUT,CUNDINAMARCA,ANAPOIMA,ALTO MAGDALENA,4.581888889,-74.52661111,Precipitacion,mm,0.0,0.3,0.0,0.15714285714285717,0.304724700110022,0.08571428571428572,0.22138425646596693,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
21215180,240,2020-03-11 04:10:00,0.0,BATALLON ROOKE  - AUT,TOLIMA,IBAGUÉ,ALTO MAGDALENA,4.418388889,-75.24866667,Precipitacion,mm,0.8,0.0,0.0,0.15714285714285717,0.304724700110022,0.08571428571428572,0.22138425646596693,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
25027750,240,2020-03-11 04:20:00,0.0,SAN MARCOS - LA MOJANA TX GPRS/GOES,SUCRE,SAN MARCOS,BAJO MAGDALENA- CAUCA -SAN JORGE,8.655,-75.131,Precipitacion,mm,0.0,0.8,0.0,0.15714285714285717,0.304724700110022,0.08571428571428572,0.22138425646596693,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
21206790,240,2020-03-11 04:20:00,0.0,HACIENDA SANTA ANA - AUT,CUNDINAMARCA,NEMOCÓN,ALTO MAGDALENA,5.0905,-73.88125,Precipitacion,mm,0.0,0.0,0.0,0.15714285714285717,0.304724700110022,0.08571428571428572,0.22138425646596693,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
25025340,240,2020-03-11 04:20:00,0.0,SAN MARCOS - AUT,SUCRE,SAN MARCOS,BAJO MAGDALENA- CAUCA -SAN JORGE,8.596833333,-75.14269444,Precipitacion,mm,0.0,0.0,0.0,0.15714285714285717,0.304724700110022,0.07857142857142856,0.22249830225306105,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
24027070,240,2020-03-11 04:30:00,0.0,MERIDA - AUT,SANTANDER,PÁRAMO,SOGAMOSO,6.444722222,-73.15833333,Precipitacion,mm,0.0,0.0,0.3,0.1142857142857143,0.30237157840738177,0.07857142857142856,0.22249830225306105,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
21205710,240,2020-03-11 05:10:00,0.0,JARDIN BOTANICO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.669333333,-74.10266667,Precipitacion,mm,0.0,0.0,0.0,0.1142857142857143,0.30237157840738177,0.07857142857142856,0.22249830225306105,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
