codigo_estacion,nombre_estacion,departamento,municipio,latitud,longitud,cod_dpto_divipola,depto_normalizado
22057060,LA MURALLA - AUT,TOLIMA,ATACO,3.481361111,-75.46697222,73,TOLIMA
23195502,APTO PALONEGRO,SANTANDER,LEBRIJA,7.121,-73.185,68,SANTANDER
44037080,MORELIA  - AUT,CAQUETA,MORELIA,1.497333333,-75.72497222,18,CAQUETA
3706500109,ARAUCA TERMINAL - AUT,ARAUCA,ARAUCA,7.063780556,-70.733080556,81,ARAUCA
35095120,AQUITANIA - AUT,BOYACÁ,AQUITANIA,5.556638889,-72.88175,15,BOYACA
15065180,APTO ALMIRANTE PADILLA TX GPRS,LA GUAJIRA,RIOHACHA,11.53,-72.918,44,LA GUAJIRA
26185501,SONSON  - AUT,ANTIOQUIA,SONSÓN,5.677719444,-75.34780556,05,ANTIOQUIA
2401500040,CUCUNUBA - AUT,CUNDINAMARCA,CUCUNUBÁ,5.219558333,-73.784541667,25,CUNDINAMARCA
52055150,CERRO PARAMO  - AUT,NARIÑO,PUERRES,0.843111111,-77.38880556,52,NARINO
26085501,LA CELIA  - AUT,RISARALDA,LA CELIA,5.001330556,-75.998,66,RISARALDA
26167070,IRRA  - AUT,CALDAS,NEIRA,5.268305556,-75.66419444,17,CALDAS
25025380,SAN BENITO ABAD - LA MOJANA TX GPRS/GOES,SUCRE,SAN BENITO ABAD,9.164,-75.045,70,SUCRE
26075501,FLORIDA  - AUT,VALLE DEL CAUCA,FLORIDA,3.291469444,-76.17735833,76,VALLE DEL CAUCA
35035110,SALINAS DE UPIN  - AUT,META,RESTREPO,4.273861111,-73.58686111,50,META
2319500043,FLORIDABLANCA - AUT,SANTANDER,FLORIDABLANCA,7.0568,-73.1094,68,SANTANDER
21137030,PUENTE CARRETERA  - AUT,HUILA,AIPE,3.263416667,-75.25097222,41,HUILA
54057010,NOANAMA ASERRIO,CHOCO,MEDIO SAN JUAN,4.673,-76.933,27,CHOCO
35057010,EL CABLE,CUNDINAMARCA,PARATEBUENO,4.396222222,-73.29252778,25,CUNDINAMARCA
21097070,PTE SANTANDER - TX GPRS,HUILA,NEIVA,2.943,-75.309,41,HUILA
52057050,SAN PEDRO  - AUT,NARIÑO,LINARES,1.383,-77.48227778,52,NARINO
26075150,APTO ALFONSO BONILLA ARAGON - TX GPRS,VALLE DEL CAUCA,PALMIRA,3.533,-76.382,76,VALLE DEL CAUCA
26095320,EL VINCULO - AUT,VALLE DEL CAUCA,BUGA,3.834805556,-76.30000556,76,VALLE DEL CAUCA
21160260,PUERTO LLERAS TOLIMA  - AUT,TOLIMA,VILLARRICA,3.839777778,-74.68830556,73,TOLIMA
26135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,4.868333333,-75.79333333,66,RISARALDA
35075080,PARAMO RABANAL - AUT,BOYACÁ,VENTAQUEMADA,5.392388889,-73.56277778,15,BOYACA
35165000,EL TUNEL,BOYACÁ,CUÍTIVA,5.575,-72.941,15,BOYACA
21206960,IDEAM BOGOTA  - AUT,BOGOTA,"BOGOTA, D.C",4.6,-74.06666667,11,BOGOTA
26175501,RAFAEL ESCOBAR  - AUT,CALDAS,SUPIA,5.45,-75.63305556,17,CALDAS
23125501,PAUNA  - AUT,BOYACÁ,PAUNA,5.657130556,-73.96032778,15,BOYACA
2636700098,HACIENDA LA GRACIOSA - AUT,VALLE DEL CAUCA,BUGALAGRANDE,4.2398,-76.049247222,76,VALLE DEL CAUCA
28045501,PUEBLO BELLO  - AUT,CESAR,PUEBLO BELLO,10.42166667,-73.57471944,20,CESAR
11047040,QUIBDO - AUT,CHOCO,QUIBDÓ,5.697991667,-76.66225833,27,CHOCO
21015040,LA PRIMAVERA - AUT,HUILA,SALADOBLANCO,2.021583333,-76.11433333,41,HUILA
26065502,TRINIDAD LA  - AUT,CAUCA,PIENDAMÓ,2.750555556,-76.57916667,19,CAUCA
26055120,UNIVERSIDAD DEL VALLE  - AUT,VALLE DEL CAUCA,CALI,3.378,-76.53388889,76,VALLE DEL CAUCA
26195502,CIUDAD BOLIVAR  - AUT,ANTIOQUIA,CIUDAD BOLÍVAR,5.868666667,-75.99044167,05,ANTIOQUIA
23035030,BASE PALANQUERO  - AUT,CUNDINAMARCA,PUERTO SALGAR,5.492861111,-74.658,25,CUNDINAMARCA
23195200,CACHIRI  - AUT,SANTANDER,SURATÁ,7.473888889,-72.99111111,68,SANTANDER
26155170,TESORITO FINCA  - AUT,CALDAS,MANIZALES,5.032222222,-75.43833333,17,CALDAS
21097120,LA ESPERANZA - AUT,HUILA,PALERMO,2.728416667,-75.39638889,41,HUILA
22025501,ATACO  - AUT,TOLIMA,ATACO,3.416666667,-75.63305556,73,TOLIMA
24035370,EL ESPINO - AUT,BOYACÁ,EL ESPINO,6.506722222,-72.45266667,15,BOYACA
24055501,CHUCURI  - AUT,SANTANDER,SAN VICENTE DE CHUCURÍ,6.863566667,-73.38411667,68,SANTANDER
23197700,MAJADAS - AUT,SANTANDER,BUCARAMANGA,7.160277778,-73.09305556,68,SANTANDER
25025350,PUERTA ROJA - AUT,SUCRE,SINCELEJO,9.316388889,-75.3875,70,SUCRE
3518700145,TUA BALNEARIO - AUT,CASANARE,MONTERREY,4.88565,-72.900888889,85,CASANARE
54077210,JUANCHACO - AUT,VALLE DEL CAUCA,BUENAVENTURA,3.925147222,-77.34900556,76,VALLE DEL CAUCA
21205660,MERCEDES - AUT,CUNDINAMARCA,ANAPOIMA,4.581888889,-74.52661111,25,CUNDINAMARCA
24017600,MONIQUIRA  - AUT,BOYACÁ,MONIQUIRÁ,5.878138889,-73.57025,15,BOYACA
15015060,SAN LORENZO  - AUT,MAGDALENA,SANTA MARTA,11.11108333,-74.05469444,47,MAGDALENA
2125700094,RECIO 1 - AUT,TOLIMA,LÍBANO,4.873833333,-75.042583333,73,TOLIMA
21195501,GRANJA TIBACUY  - AUT,CUNDINAMARCA,TIBACUY,4.363052778,-74.43527778,25,CUNDINAMARCA
16015502,BLONAY  - AUT,NORTE DE SANTANDER,CHINÁCOTA,7.564997222,-72.62110833,54,NORTE DE SANTANDER
1111500036,ABRIAQUI - AUT,ANTIOQUIA,ABRIAQUÍ,6.6363,-76.070733333,05,ANTIOQUIA
25025000,EL DIFICIL - AUT,MAGDALENA,ARIGUANÍ (EL DIFICIL),9.911972222,-74.08580556,47,MAGDALENA
37027010,PEÑA DE LOS MICOS - AUT,NORTE DE SANTANDER,TOLEDO,7.196972222,-72.42477778,54,NORTE DE SANTANDER
26125300,CALARCA - AUT,QUINDÍO,CALARCÁ,4.528305556,-75.59638889,63,QUINDIO
26115090,LAS BRISAS - AUT,VALLE DEL CAUCA,ANSERMANUEVO,4.775583333,-76.14427778,76,VALLE DEL CAUCA
53115501,DAGUA  - AUT,VALLE DEL CAUCA,DAGUA,3.610441667,-76.63785833,76,VALLE DEL CAUCA
35215020,APTO YOPAL,CASANARE,YOPAL,5.32,-72.388,85,CASANARE
35215030,PERENCO: PISBA,BOYACÁ,PISVA,5.721,-72.488,15,BOYACA
44017120,PIEDRA LISA II  - AUT,PUTUMAYO,MOCOA,1.213611111,-76.66102778,86,PUTUMAYO
26207080,BOLOMBOLO - AUT,ANTIOQUIA,VENECIA,5.965944444,-75.84147222,05,ANTIOQUIA
52055170,LA JOSEFINA - AUT,NARIÑO,CONTADERO,0.930305556,-77.49119444,52,NARINO
23065501,PACHO  - AUT,CUNDINAMARCA,PACHO,5.129127778,-74.15769722,25,CUNDINAMARCA
2633700150,GUAYABAL - AUT,VALLE DEL CAUCA,BUGA,3.894569444,-76.347022222,76,VALLE DEL CAUCA
21205940,VILLA INES  - AUT,CUNDINAMARCA,FACATATIVÁ,4.834972222,-74.38397222,25,CUNDINAMARCA
26187040,QUITASUENO  - AUT,CALDAS,AGUADAS,5.721138889,-75.55258333,17,CALDAS
2604500134,TORIBIO ALERTAS   TORIBIO - AUT,CAUCA,TORIBÍO,2.952388889,-76.262083333,19,CAUCA
